,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
0,140.0,0,1,0,1300
1,80,0,0,1,550
2,190,0,0,1,1000
3,190,0,0,1,950
4,160,0,0,1,800
5,150,0,0,1,450
6,200,0,1,0,1300
7,130,0,1,0,700
8,175,0,0,1,600
9,135,0,1,0,2300
10,160,0,0,1,600
11,140.0,0,0,1,550
12,140.0,0,1,0,1100
13,210,0,1,0,2700
14,150,0,0,1,600
15,120,0,0,1,450
16,200,0,0,1,700
17,220,0,0,1,900
18,90,1,0,0,2000
19,140.0,0,1,0,1100
20,119,0,0,1,500
21,140.0,0,1,0,1000
22,140,0,1,0,400
23,90,0,1,0,800
24,140.0,0,0,1,700
25,140.0,0,1,0,2200
26,200,0,0,1,850
27,140.0,0,1,0,1600
28,135,0,0,1,500
29,140.0,0,0,1,500
30,130,0,1,0,1300
31,150,1,0,0,320
32,125,1,0,0,1800
33,130,1,0,0,200
34,174,0,1,0,3000
35,160,0,0,1,1200
36,145,0,0,1,600
37,160,0,0,1,600
38,150,1,0,0,3300
39,50,0,0,1,350
40,140.0,0,1,0,1000
41,160,0,0,1,450
42,150,0,0,1,600
43,140.0,0,0,1,430
44,70,0,0,1,450
45,195,1,0,0,160000
46,116,0,1,0,800
47,110,0,1,0,12000
48,150,0,0,1,550
49,165,0,0,1,650
50,130,0,1,0,1600
51,180,0,1,0,1300
52,170,0,1,0,1500
53,160,0,1,0,1600
54,140.0,0,0,1,400
55,140.0,0,0,1,200
56,120,0,1,0,1400
57,140,0,1,0,1900
58,155,0,0,1,550
59,20,0,1,0,600
60,70,0,0,1,400
61,185,0,1,0,1550
62,160,0,0,1,600
63,140.0,0,0,1,550
64,130,0,1,0,700
65,200,0,1,0,1300
66,140.0,0,1,0,900
67,180,0,0,1,750
68,200,0,1,0,450
69,145,0,1,0,2500
70,140,1,0,0,300
71,100,0,1,0,600
72,20,0,0,1,200
73,140.0,0,0,1,600
74,190,0,1,0,1800
75,170,0,0,1,700
76,140,0,0,1,500
77,100,0,0,1,700
78,140.0,1,0,0,280
79,110,0,1,0,1000
80,200,0,0,1,180000
81,160,0,0,1,550
82,100,0,1,0,600
83,135,0,1,0,1200
84,140.0,0,1,0,1450
85,150,0,0,1,500
86,140.0,0,1,0,1100
87,160,0,0,1,500
88,160,0,0,1,500
89,160,0,0,1,600
90,180,0,0,1,1100
91,140.0,0,0,1,350
92,180,0,0,1,700
93,160,0,0,1,600
94,110,0,0,1,400
95,140.0,0,0,1,550
96,120,0,1,0,1500
97,25,0,1,0,1000
98,170,1,0,0,4000
99,70,0,0,1,550
100,115,0,1,0,1800
101,140.0,0,0,1,500
102,150,0,1,0,2000
103,180,0,0,1,950
104,190,0,0,1,1000
105,300,0,1,0,1500
106,100,0,1,0,1000
107,140.0,0,0,1,500
108,140.0,0,0,1,700
109,160,0,1,0,1500
110,140,0,1,0,1600
111,170,0,0,1,500
112,170,0,0,1,700
113,170,0,0,1,800
114,170,0,0,1,1000
115,140.0,0,1,0,450
116,140.0,0,0,1,600
117,110,0,0,1,400
118,140.0,0,0,1,600
119,140,0,1,0,1900
120,140.0,0,1,0,2000
121,150,0,0,1,450
122,70,0,1,0,1200
123,0,0,1,0,400
124,140,0,0,1,500
125,140.0,0,1,0,1600
126,140,0,0,1,500
127,130,0,0,1,450
128,150,0,0,1,600
129,120,0,1,0,1300
130,140.0,1,0,0,3300
131,180,0,0,1,800
132,165,0,0,1,800
133,140.0,0,1,0,600
134,140,0,1,0,1900
135,120,0,0,1,500
136,140.0,0,0,1,500
137,160,0,0,1,800
138,120,0,0,1,600
139,140.0,0,0,1,350
140,120,0,1,0,2200
141,155,0,0,1,500
142,155,0,0,1,600
143,170,0,0,1,1100
144,140.0,0,1,0,900
145,90,0,0,1,700
146,130,0,0,1,500
147,280,0,0,1,600
148,110,0,0,1,800
149,90,0,1,0,2400
150,45,0,0,1,500
151,100,0,1,0,180
152,150,0,0,1,500
153,124,0,0,1,500
154,190,0,0,1,1200
155,140,0,1,0,1400
156,140,0,0,1,500
157,130,1,0,0,180
158,130,0,0,1,425
159,150,1,0,0,3000
160,200,1,0,0,2800
161,140,0,0,1,550
162,140,0,0,1,550
163,140,0,0,1,500
164,165,0,1,0,1500
165,127,0,0,1,550
166,140.0,0,0,1,600
167,140.0,0,0,1,650
168,150,0,0,1,450
169,150,0,0,1,500
170,120,0,1,0,1600
171,140,0,1,0,1500
172,160,0,0,1,700
173,140,0,0,1,550
174,130,0,1,0,800
175,140,0,0,1,500
176,200,0,0,1,300
177,150,0,0,1,600
178,180,0,0,1,1100
179,160,0,0,1,700
180,144,1,0,0,3500
181,50,0,0,1,550
182,140.0,0,0,1,550
183,140.0,0,0,1,450
184,140.0,0,0,1,500
185,165,0,0,1,600
186,180,0,0,1,700
187,140.0,0,0,1,400
188,120,0,1,0,1000
189,100,0,1,0,800
190,160,0,0,1,600
191,162,0,0,1,500
192,165,0,0,1,600
193,80,0,0,1,550
194,100,0,0,1,500
195,160,0,0,1,600
196,140,0,0,1,700
197,140.0,0,0,1,400
198,140.0,0,1,0,1100
199,140.0,0,0,1,400
200,175,1,0,0,3500
201,123,0,1,0,2300
202,140.0,0,1,0,1600
203,150,0,1,0,1600
204,130,0,1,0,2500
205,140.0,0,0,1,350
206,150,1,0,0,2600
207,80,0,1,0,2000
208,140,0,1,0,1800
209,165,0,1,0,2000
210,140.0,0,1,0,600
211,140.0,0,0,1,600
212,25,0,1,0,1000
213,110,0,1,0,800
214,140.0,0,1,0,1400
215,110,0,1,0,1000
216,80,0,1,0,1000
217,130,0,1,0,1100
218,150,0,0,1,500
219,140,0,0,1,500
220,120,0,0,1,600
221,120,0,1,0,1100
222,140.0,0,1,0,1500
223,140.0,0,1,0,600
224,140,0,0,1,500
225,70,0,0,1,550
226,140.0,0,0,1,450
227,140.0,0,0,1,450
228,140.0,0,0,1,600
229,16,0,1,0,1200
230,140,0,1,0,1200
231,140,0,0,1,700
232,160,0,0,1,600
233,16,0,1,0,550
234,150,0,0,1,550
235,140,0,0,1,500
236,165,0,0,1,700
237,145,0,0,1,650
238,155,0,1,0,600
239,100,0,0,1,500
240,180,0,1,0,1650
241,120,0,1,0,330
242,140,0,1,0,1100
243,130,1,0,0,3500
244,150,0,0,1,600
245,172,0,0,1,650
246,140.0,0,0,1,400
247,140.0,0,0,1,400
248,140.0,0,1,0,900
249,100,0,1,0,1000
250,170,0,1,0,2500
251,140.0,0,0,1,600
252,175,0,0,1,800
253,148,0,1,0,2500
254,122,0,0,1,500
255,100,0,1,0,1000
256,170,0,0,1,1100
257,140,0,1,0,1500
258,170,0,0,1,1100
259,110,0,0,1,400
260,140.0,0,0,1,350
261,200,0,1,0,1300
262,80,1,0,0,1500
263,140.0,0,1,0,1000
264,88,0,1,0,1200
265,140.0,0,1,0,1300
266,140,0,1,0,850
267,140.0,0,0,1,850
268,100,0,0,1,650
269,160,0,0,1,600
270,120,0,0,1,600
271,45,0,0,1,340
272,170,0,0,1,500
273,118,0,0,1,600
274,140.0,0,0,1,550
275,140,0,0,1,700
276,140.0,0,1,0,300
277,140.0,0,1,0,1900
278,155,0,0,1,500
279,140.0,0,1,0,1100
280,145,0,0,1,800
281,140.0,0,0,1,1000
282,180,0,1,0,1500
283,60,0,0,1,300
284,100,0,1,0,700
285,135,0,0,1,600
286,165,0,0,1,700
287,140.0,0,0,1,500
288,140.0,0,0,1,450
289,140,0,0,1,500
290,140.0,0,0,1,550
291,220,0,0,1,600
292,155,0,0,1,700
293,16,0,1,0,550
294,138,0,0,1,500
295,140,0,1,0,1500
296,160,0,0,1,600
297,160,0,0,1,550
298,160,0,0,1,600
299,1,0,0,1,700
300,1,0,0,1,700
301,140.0,0,1,0,1200
302,140.0,0,1,0,1100
303,120,0,0,1,450
304,140.0,0,1,0,1200
305,135,0,1,0,1250
306,150,0,1,0,1300
307,120,0,1,0,1000
308,140.0,0,0,1,500
309,140.0,0,0,1,500
310,170,0,0,1,700
311,140.0,0,1,0,350
312,170,0,1,0,1800
313,150,0,0,1,600
314,85,0,0,1,500
315,220,0,0,1,600
316,170,0,0,1,600
317,110,0,1,0,15000
318,150,0,1,0,2100
319,140.0,0,0,1,300
320,170,0,0,1,1150
321,170,0,0,1,850
322,140.0,0,0,1,600
323,180,0,0,1,1100
324,150,0,0,1,650
325,140,0,0,1,700
326,150,0,0,1,550
327,50,0,1,0,1600
328,50,0,0,1,350
329,140.0,0,1,0,900
330,90,1,0,0,2700
331,150,0,0,1,800
332,170,0,0,1,700
333,130,0,1,0,1400
334,110,0,1,0,1500
335,110,0,1,0,500
336,120,1,0,0,2500
337,40,0,1,0,1500
338,140.0,0,0,1,450
339,150,0,1,0,2500
340,140.0,0,0,1,500
341,145,0,1,0,2700
342,110,0,0,1,400
343,150,0,0,1,600
344,140.0,0,0,1,550
345,160,0,0,1,600
346,140,0,0,1,5009
347,25,0,1,0,1000
348,80,0,1,0,1000
349,26,0,1,0,1200
350,170,0,0,1,700
351,0,0,1,0,1500
352,100,0,1,0,1800
353,215,0,0,1,850
354,100,0,0,1,1000
355,80,0,1,0,1200
356,145,0,1,0,2500
357,140,0,1,0,1300
358,130,0,1,0,800
359,170,0,0,1,1000
360,160,0,0,1,600
361,140.0,0,0,1,450
362,25,0,1,0,1000
363,155,0,0,1,600
364,60,0,1,0,1500
365,50,0,0,1,550
366,145,0,0,1,600
367,166,0,1,0,1000
368,140.0,0,0,1,450
369,155,0,1,0,1700
370,140.0,0,1,0,1300
371,140,0,0,1,500
372,45,0,0,1,340
373,60,0,1,0,1300
374,140.0,0,1,0,1100
375,140.0,0,0,1,700
376,140.0,0,1,0,1700
377,100,0,1,0,1700
378,150,0,0,1,600
379,162,0,0,1,600
380,168,0,0,1,550
381,200,0,1,0,2000
382,150,0,0,1,600
383,140.0,0,1,0,1500
384,70,0,0,1,500
385,120,0,0,1,600
386,140,0,1,0,2100
387,160,0,1,0,2100
388,130,0,1,0,1100
389,125,0,0,1,650
390,140.0,0,0,1,600
391,140.0,0,0,1,450
392,50,0,1,0,1800
393,100,0,1,0,2800
394,170,0,0,1,700
395,155,0,0,1,500
396,80,0,0,1,500
397,170,0,0,1,600
398,120,0,0,1,600
399,140.0,0,1,0,1500
400,145,1,0,0,250
401,120,0,1,0,2200
402,155,0,0,1,600
