date,houseId,category,city,address,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,loungeType,houseSpace,landArea,elevator,carParking,heating,price,priceType
2020-01-29 ,240000,للبيع,نابلس, -  مدينة نابلس,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,يوجد ,130,1000,نعم ,نعم , ,55000,دينار
2020-01-29 ,240003,للايجار,رام الله والبيرة, - بيتونيا,شقة,مفروشة ,غرفة واحدة - ستوديو , , , , , , ,نعم ,نعم , ,1300,شيكل
2020-01-29 ,240004,للبيع,نابلس, -  مدينة نابلس,شقة,عظم ,ثلاث غرف ,2 ,1 ,2 ,صالة كبيرة ,168, ,نعم ,نعم , ,370,دينار
2020-01-29 ,240005,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,غرفة واحدة - ستوديو ,1 ,1 ,1 ,صالة كبيرة وترس كبير ,80, ,نعم ,نعم , ,550,دولار
2020-01-29 ,240006,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,3 , ,2 , ,190,100,نعم ,نعم ,نعم ,1000,دولار
2020-01-29 ,240007,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,3 ,1 ,1 ,1 ,190, ,نعم ,نعم ,نعم ,950,دولار
2020-01-29 ,240008,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,3 , ,3 ,1 ,160, ,نعم ,نعم , ,800,دولار
2020-01-29 ,240009,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,  2 ,150,0,نعم ,نعم , ,450,دولار
2020-01-29 ,240010,للايجار,رام الله والبيرة, - بير نبالا,شقة,غير مفروشة ,ثلاث غرف , ,1 ,3 ,صالون   صاله ,200, , ,نعم , ,1300,شيكل
2020-01-29 ,240011,للايجار,رام الله والبيرة, - بير نبالا,شقة,غير مفروشة ,غرفتين ,1 ,1 ,1 ,صالون ,130, ,نعم ,نعم , ,700,شيكل
2020-01-29 ,240012,للايجار,رام الله والبيرة, -  مدينة رام الله,رووف,مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة وصالون ,175,900, , , ,600,دولار
2020-01-29 ,240013,للبيع,نابلس, -  مدينة نابلس,شقة,عظم ,اربع غرف ,2 ,1 ,1 ,صالة كبيرة ,165,700,نعم ,نعم , ,40000,دينار
2020-01-29 ,240014,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,نعم ,180, ,نعم ,نعم ,نعم ,1000,دولار
2020-01-29 ,240016,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,2 ,1 ,1 ,نعم ,135, ,نعم , , ,2300,شيكل
2020-01-29 ,240020,للبيع,رام الله والبيرة, - بيتونيا,شقة,مشطب ,ثلاث غرف ,2 ,1 , ,صاله كبيرة ,110, , ,نعم , ,65000,دولار
2020-01-29 ,240021,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,صالة+صالون ,160, ,نعم ,نعم , ,600,دولار
2020-01-29 ,240022,للبيع,رام الله والبيرة, - بيتونيا,رووف,غير مفروشة ,ثلاث غرف ,1 ,1 ,2 ,صاله كبيره ,157,715,نعم ,نعم , ,80000,دولار
2020-01-29 ,240023,للايجار,رام الله والبيرة, -  مدينة رام الله,رووف,مفروشة ,غرفة واحدة - ستوديو ,1 ,1 ,1 ,صالة , , ,نعم ,نعم , ,550,دولار
2020-01-29 ,240024,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,غرفتين ,1 ,1 , ,صالة كبيرة , , , , , ,1100,شيكل
2020-01-29 ,240025,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,2 ,210,0,نعم ,نعم ,نعم ,2700,شيكل
