date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
2020-01-29,RB,apartment,A,1,1,1,0,1,1,0,140.0,0,1,0,1300
2020-01-29,RB,apartment,A,1,1,1,1,1,1,0,80.0,0,0,1,550
2020-01-29,RB,apartment,A,3,3,1,2,1,1,1,190.0,0,0,1,1000
2020-01-29,RB,apartment,A,3,3,1,1,1,1,1,190.0,0,0,1,950
2020-01-29,RB,apartment,A,3,3,1,3,1,1,0,160.0,0,0,1,800
2020-01-29,RB,apartment,B,3,3,1,1,1,1,0,150.0,0,0,1,450
2020-01-29,RB,apartment,B,3,1,1,3,0,1,0,200.0,0,1,0,1300
2020-01-29,RB,apartment,B,2,1,1,1,1,1,0,130.0,0,1,0,700
2020-01-29,RB,Roof,A,3,3,1,1,0,0,0,175.0,0,0,1,600
2020-01-29,RB,apartment,A,3,2,1,1,1,0,0,135.0,0,1,0,2300
2020-01-29,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-01-29,RB,Roof,A,1,1,1,1,1,1,0,140.0,0,0,1,550
2020-01-29,RB,apartment,B,2,1,1,0,0,0,0,140.0,0,1,0,1100
2020-01-29,RB,apartment,B,3,3,1,2,1,1,1,210.0,0,1,0,2700
2020-01-29,RB,apartment,B,3,3,1,1,1,1,0,150.0,0,0,1,600
2020-01-29,RB,apartment,B,2,2,1,1,1,1,0,120.0,0,0,1,450
2020-01-30,RB,apartment,A,3,2,1,1,0,0,0,200.0,0,0,1,700
2020-01-30,RB,apartment,A,3,3,1,4,1,1,1,220.0,0,0,1,900
2020-01-30,N,apartment,B,3,1,1,0,0,0,0,90.0,1,0,0,2000
2020-01-30,T,apartment,A,1,1,1,0,0,1,0,140.0,0,1,0,1100
2020-01-30,RB,apartment,B,3,1,1,0,0,0,0,119.0,0,0,1,500
2020-01-30,RB,apartment,A,2,1,1,1,1,1,0,140.0,0,1,0,1000
2020-01-30,RB,apartment,A,3,1,1,0,0,0,0,140.0,0,1,0,400
2020-02-04,RB,apartment,B,1,1,1,1,0,0,0,90.0,0,1,0,800
