date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,houseSpace,elevator,carParking,heating,priceUS
2020-01-29,RB,apartment,A,1,1,1,0,,1,1,0,390.0
2020-01-29,RB,apartment,A,1,1,1,1,80.0,1,1,0,550.0
2020-01-29,RB,apartment,A,3,3,1,2,190.0,1,1,1,1000.0
2020-01-29,RB,apartment,A,3,3,1,1,190.0,1,1,1,950.0
2020-01-29,RB,apartment,A,3,3,1,3,160.0,1,1,0,800.0
2020-01-29,RB,apartment,B,3,3,1,1,150.0,1,1,0,450.0
2020-01-29,RB,apartment,B,3,1,1,3,200.0,0,1,0,390.0
2020-01-29,RB,apartment,B,2,1,1,1,130.0,1,1,0,210.0
2020-01-29,RB,Roof,A,3,3,1,1,175.0,0,0,0,600.0
2020-01-29,RB,apartment,A,3,2,1,1,135.0,1,0,0,690.0
2020-01-29,RB,apartment,B,3,2,1,1,160.0,1,1,0,600.0
2020-01-29,RB,Roof,A,1,1,1,1,,1,1,0,550.0
2020-01-29,RB,apartment,B,2,1,1,0,,0,0,0,330.0
2020-01-29,RB,apartment,B,3,3,1,2,210.0,1,1,1,810.0
2020-01-29,RB,apartment,B,3,3,1,1,150.0,1,1,0,600.0
2020-01-29,RB,apartment,B,2,2,1,1,120.0,1,1,0,450.0
2020-01-30,RB,apartment,A,3,2,1,1,200.0,0,0,0,700.0
2020-01-30,RB,apartment,A,3,3,1,4,220.0,1,1,1,900.0
2020-01-30,N,apartment,B,3,1,1,0,90.0,0,0,0,2820.0
2020-01-30,T,apartment,A,1,1,1,0,,0,1,0,330.0
2020-01-30,RB,apartment,B,3,1,1,0,119.0,0,0,0,500.0
2020-01-30,RB,apartment,A,2,1,1,1,,1,1,0,300.0
2020-01-30,RB,apartment,A,3,1,1,0,140.0,0,0,0,120.0
2020-02-04,RB,apartment,B,1,1,1,1,90.0,0,0,0,240.0
2020-01-30,RB,apartment,A,2,1,1,1,,1,0,0,700.0
2020-01-30,B,apartment,A,2,2,1,0,,0,1,0,660.0
2020-02-01,RB,apartment,A,3,3,1,2,200.0,1,1,1,850.0
2020-01-30,RB,apartment,B,1,1,1,0,,1,1,1,480.0
2020-01-30,B,apartment,C,2,1,1,1,135.0,1,0,0,500.0
2020-01-30,RB,apartment,A,2,1,1,0,,0,0,0,500.0
2020-01-30,B,apartment,B,3,2,1,2,130.0,1,1,0,390.0
2020-01-30,N,apartment,B,2,2,1,1,150.0,0,0,0,451.2
2020-02-01,H,apartment,C,2,2,1,1,125.0,0,0,0,2538.0
2020-01-30,RB,apartment,B,3,3,1,0,130.0,1,1,0,282.0
2020-01-30,H,apartment,A,3,3,1,3,174.0,1,1,1,900.0
2020-01-30,RB,apartment,A,3,2,1,2,160.0,1,1,0,1200.0
2020-01-30,RB,apartment,A,2,2,1,1,145.0,0,1,0,600.0
2020-01-30,RB,apartment,B,3,3,1,1,160.0,1,1,1,600.0
2020-02-01,N,apartment,B,3,2,1,1,150.0,1,1,0,4653.0
2020-01-30,RB,apartment,B,1,1,1,0,50.0,1,1,0,350.0
2020-01-30,J,apartment,B,2,1,1,1,,0,0,0,300.0
2020-01-30,RB,apartment,B,3,2,1,1,160.0,1,1,0,450.0
2020-02-01,RB,apartment,B,3,3,1,1,150.0,1,1,0,600.0
2020-02-01,RB,apartment,B,3,1,1,0,,1,1,0,430.0
2020-02-01,RB,apartment,A,1,1,1,0,70.0,1,1,1,450.0
2020-02-01,JN,apartment,C,5,2,1,0,195.0,0,1,0,225600.0
2020-02-01,H,apartment,B,3,1,1,1,116.0,0,1,0,240.0
2020-02-01,T,apartment,C,3,2,1,2,110.0,0,1,0,3600.0
