city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,Bldg_A,Bldg_B,Bldg_C,MedstatusHouseSpace,city_encoded,price
1,1,1,1,0,1,1,0,140.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,1300
1,1,1,1,1,1,1,0,80.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,1,3,3,2,1,1,1,190.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,1000
1,1,3,3,1,1,1,1,190.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,950
1,1,3,3,3,1,1,0,160.0,0,0,1,1.0,3,0,0,140.0,2179.295502344721,800
1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,450
1,2,3,1,3,0,1,0,200.0,0,1,0,0.3333333333333333,0,3,0,140.0,2179.295502344721,1300
1,2,2,1,1,1,1,0,130.0,0,1,0,0.5,0,1,0,140.0,2179.295502344721,700
1,1,3,3,1,0,0,0,175.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
1,1,3,2,1,1,0,0,135.0,0,1,0,0.6666666666666666,1,0,0,140.0,2179.295502344721,2300
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,600
1,1,1,1,1,1,1,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,2,2,1,0,0,0,0,140.0,0,1,0,0.5,0,0,0,140.0,2179.295502344721,1100
1,2,3,3,2,1,1,1,210.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,2700
1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,2,2,2,1,1,1,0,120.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,450
1,1,3,2,1,0,0,0,200.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
4,2,3,1,0,0,0,0,90.0,1,0,0,0.3333333333333333,0,0,0,140.0,5829.75481655339,2000
2,1,1,1,0,0,1,0,140.0,0,1,0,1.0,0,0,0,140.0,2954.5204006236395,1100
1,2,3,1,0,0,0,0,119.0,0,0,1,0.3333333333333333,0,0,0,140.0,2179.295502344721,500
1,1,2,1,1,1,1,0,140.0,0,1,0,0.5,1,0,0,140.0,2179.295502344721,1000
1,1,3,1,0,0,0,0,140.0,0,1,0,0.3333333333333333,0,0,0,140.0,2179.295502344721,400
1,2,1,1,1,0,0,0,90.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,800
1,1,2,1,1,1,0,0,140.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,700
3,1,2,2,0,0,1,0,140.0,0,1,0,1.0,0,0,0,140.0,4419.044863120856,2200
1,1,3,3,2,1,1,1,200.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,850
1,2,1,1,0,1,1,1,140.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,1600
3,3,2,1,1,1,0,0,135.0,0,0,1,0.5,0,0,1,140.0,4419.044863120856,500
1,1,2,1,0,0,0,0,140.0,0,0,1,0.5,0,0,0,140.0,2179.295502344721,500
3,2,3,2,2,1,1,0,130.0,0,1,0,0.6666666666666666,0,2,0,140.0,4419.044863120856,1300
4,2,2,2,1,0,0,0,150.0,1,0,0,1.0,0,1,0,140.0,5829.75481655339,320
5,3,2,2,1,0,0,0,125.0,1,0,0,1.0,0,0,1,140.0,4500.664105141376,1800
1,2,3,3,0,1,1,0,130.0,1,0,0,1.0,0,0,0,140.0,2179.295502344721,200
5,1,3,3,3,1,1,1,174.0,0,1,0,1.0,3,0,0,140.0,4500.664105141376,3000
1,1,3,2,2,1,1,0,160.0,0,0,1,0.6666666666666666,2,0,0,140.0,2179.295502344721,1200
1,1,2,2,1,0,1,0,145.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
4,2,3,2,1,1,1,0,150.0,1,0,0,0.6666666666666666,0,1,0,140.0,5829.75481655339,3300
1,2,1,1,0,1,1,0,50.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,350
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,450
1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,2,3,1,0,1,1,0,140.0,0,0,1,0.3333333333333333,0,0,0,140.0,2179.295502344721,430
1,1,1,1,0,1,1,1,70.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,450
5,2,3,1,1,0,1,0,116.0,0,1,0,0.3333333333333333,0,1,0,140.0,4500.664105141376,800
1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,550
1,1,3,3,1,1,1,0,165.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,650
1,2,2,2,2,0,0,0,130.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1600
1,2,3,2,3,0,0,0,180.0,0,1,0,0.6666666666666666,0,3,0,140.0,2179.295502344721,1300
1,2,3,3,2,1,1,0,170.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1500
1,2,3,3,2,1,1,0,160.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1600
1,2,1,2,1,0,0,0,140.0,0,0,1,2.0,0,1,0,140.0,2179.295502344721,400
1,1,3,2,0,0,0,0,140.0,0,0,1,0.6666666666666666,0,0,0,140.0,2179.295502344721,200
1,2,5,2,1,0,0,0,120.0,0,1,0,0.4,0,1,0,140.0,2179.295502344721,1400
1,2,3,2,1,1,0,0,140.0,0,1,0,0.6666666666666666,0,1,0,140.0,2179.295502344721,1900
1,2,3,3,1,1,1,0,155.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,550
1,2,1,1,0,1,1,0,20.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,600
1,1,1,1,1,1,1,1,70.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,400
1,2,3,3,2,1,0,1,185.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1550
1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,1,1,1,0,1,1,1,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,550
1,2,2,1,1,0,0,0,130.0,0,1,0,0.5,0,1,0,140.0,2179.295502344721,700
1,2,3,3,3,0,0,0,200.0,0,1,0,1.0,0,3,0,140.0,2179.295502344721,1300
1,2,1,1,1,1,1,0,140.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,900
1,2,3,3,3,1,1,0,180.0,0,0,1,1.0,0,3,0,140.0,2179.295502344721,750
1,1,3,2,1,1,1,0,200.0,0,1,0,0.6666666666666666,1,0,0,140.0,2179.295502344721,450
2,1,3,2,2,0,1,0,145.0,0,1,0,0.6666666666666666,2,0,0,140.0,2954.5204006236395,2500
3,2,3,2,2,1,1,0,140.0,1,0,0,0.6666666666666666,0,2,0,140.0,4419.044863120856,300
4,3,2,2,0,0,0,0,100.0,0,1,0,1.0,0,0,0,140.0,5829.75481655339,600
1,2,1,1,0,0,0,0,20.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,200
1,1,2,2,1,1,1,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
3,1,3,2,3,0,1,0,190.0,0,1,0,0.6666666666666666,3,0,0,140.0,4419.044863120856,1800
1,2,3,3,1,1,1,0,170.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,700
1,2,3,2,0,1,1,0,140.0,0,0,1,0.6666666666666666,0,0,0,140.0,2179.295502344721,500
1,1,3,1,0,1,1,0,100.0,0,0,1,0.3333333333333333,0,0,0,140.0,2179.295502344721,700
1,2,3,1,2,0,0,0,140.0,1,0,0,0.3333333333333333,0,2,0,140.0,2179.295502344721,280
1,1,1,1,0,0,0,0,110.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,1000
1,2,3,2,2,0,1,1,160.0,0,0,1,0.6666666666666666,0,2,0,140.0,2179.295502344721,550
4,2,2,1,0,0,0,0,100.0,0,1,0,0.5,0,0,0,140.0,5829.75481655339,600
1,2,2,2,1,1,1,0,135.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,1200
1,2,3,2,0,0,0,0,140.0,0,1,0,0.6666666666666666,0,0,0,140.0,2179.295502344721,1450
1,2,2,2,2,0,1,1,150.0,0,0,1,1.0,0,2,0,140.0,2179.295502344721,500
1,2,1,1,0,0,0,0,140.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,1100
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,3,3,1,1,1,1,180.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,1100
1,1,1,1,0,0,0,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,350
1,1,3,3,1,1,1,0,180.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,700
1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,2,2,2,1,0,1,0,110.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,400
1,1,1,1,1,1,1,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,1,2,1,1,0,1,0,120.0,0,1,0,0.5,1,0,0,140.0,2179.295502344721,1500
3,1,1,1,0,1,1,1,25.0,0,1,0,1.0,0,0,0,140.0,4419.044863120856,1000
4,3,3,2,2,1,1,0,170.0,1,0,0,0.6666666666666666,0,0,2,140.0,5829.75481655339,4000
1,1,1,1,2,1,1,1,70.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,550
1,1,3,2,0,1,1,0,115.0,0,1,0,0.6666666666666666,0,0,0,140.0,2179.295502344721,1800
1,1,1,1,1,0,0,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,500
3,2,3,3,1,0,0,0,150.0,0,1,0,1.0,0,1,0,140.0,4419.044863120856,2000
1,1,3,3,2,1,1,1,180.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,950
1,1,3,3,2,1,1,1,190.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,1000
1,2,2,1,0,0,0,0,100.0,0,1,0,0.5,0,0,0,140.0,2179.295502344721,1000
1,2,3,2,0,1,1,0,140.0,0,0,1,0.6666666666666666,0,0,0,140.0,2179.295502344721,500
1,1,3,1,0,1,0,0,140.0,0,0,1,0.3333333333333333,0,0,0,140.0,2179.295502344721,700
1,2,4,2,2,1,1,0,160.0,0,1,0,0.5,0,2,0,140.0,2179.295502344721,1500
1,2,2,2,1,1,1,0,140.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,1600
1,1,3,2,2,1,1,1,170.0,0,0,1,0.6666666666666666,2,0,0,140.0,2179.295502344721,500
1,1,3,3,2,1,1,1,170.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,700
1,1,3,3,1,1,1,1,170.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,800
1,1,2,3,1,1,1,1,170.0,0,0,1,1.5,1,0,0,140.0,2179.295502344721,1000
1,1,3,1,0,0,1,0,140.0,0,1,0,0.3333333333333333,0,0,0,140.0,2179.295502344721,450
1,2,3,3,1,1,1,1,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,2,2,2,1,0,0,0,110.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,400
1,2,3,3,1,1,1,1,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,600
1,2,3,2,1,1,1,0,140.0,0,1,0,0.6666666666666666,0,1,0,140.0,2179.295502344721,1900
1,1,2,1,1,1,1,0,140.0,0,1,0,0.5,1,0,0,140.0,2179.295502344721,2000
1,2,3,3,0,1,1,0,150.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,450
3,2,2,1,2,0,0,0,70.0,0,1,0,0.5,0,2,0,140.0,4419.044863120856,1200
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,1,2,0,1,1,1,140.0,0,1,0,2.0,0,0,0,140.0,2179.295502344721,1600
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,2,2,2,2,0,0,0,130.0,0,0,1,1.0,0,2,0,140.0,2179.295502344721,450
1,1,3,3,1,1,1,0,150.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
2,3,3,1,1,1,1,0,120.0,0,1,0,0.3333333333333333,0,0,1,140.0,2954.5204006236395,1300
4,1,3,2,2,1,1,0,140.0,1,0,0,0.6666666666666666,2,0,0,140.0,5829.75481655339,3300
1,1,3,3,2,1,1,0,180.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,800
1,1,3,3,3,1,1,1,165.0,0,0,1,1.0,3,0,0,140.0,2179.295502344721,800
4,1,3,2,1,0,0,0,140.0,0,1,0,0.6666666666666666,1,0,0,140.0,5829.75481655339,600
1,2,3,2,1,1,1,0,140.0,0,1,0,0.6666666666666666,0,1,0,140.0,2179.295502344721,1900
1,1,2,2,1,1,1,0,120.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,500
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,3,3,1,1,1,1,160.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,800
1,1,2,1,1,0,1,0,120.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,600
1,1,1,1,0,0,0,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,350
1,1,2,2,1,1,1,0,120.0,0,1,0,1.0,1,0,0,140.0,2179.295502344721,2200
1,2,3,2,1,1,1,0,155.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,3,2,1,1,1,0,155.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,2,2,1,1,1,1,170.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,1100
1,2,1,1,1,1,1,0,140.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,900
1,1,3,1,0,1,0,0,90.0,0,0,1,0.3333333333333333,0,0,0,140.0,2179.295502344721,700
1,1,2,2,0,1,1,0,130.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,500
1,1,2,2,2,1,1,1,110.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,800
4,1,2,2,1,0,0,0,90.0,0,1,0,1.0,1,0,0,140.0,5829.75481655339,2400
1,1,1,1,0,1,1,0,45.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,500
1,2,3,2,0,1,1,1,150.0,0,0,1,0.6666666666666666,0,0,0,140.0,2179.295502344721,500
1,2,3,3,1,1,1,0,124.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,500
1,2,6,2,1,0,0,0,190.0,0,0,1,0.3333333333333333,0,1,0,140.0,2179.295502344721,1200
3,1,2,1,0,0,1,0,140.0,0,1,0,0.5,0,0,0,140.0,4419.044863120856,1400
1,2,3,3,1,1,1,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,500
1,2,2,2,2,0,0,0,130.0,0,0,1,1.0,0,2,0,140.0,2179.295502344721,425
4,2,3,2,1,1,1,0,150.0,1,0,0,0.6666666666666666,0,1,0,140.0,5829.75481655339,3000
4,2,3,2,0,1,0,0,200.0,1,0,0,0.6666666666666666,0,0,0,140.0,5829.75481655339,2800
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,550
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,550
1,2,3,2,2,1,1,0,140.0,0,0,1,0.6666666666666666,0,2,0,140.0,2179.295502344721,500
1,2,3,2,1,1,1,0,127.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,550
1,1,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,3,3,1,1,1,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,650
1,2,3,2,1,0,1,0,150.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,450
1,2,3,3,0,1,1,1,150.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,500
1,2,2,1,1,0,1,0,120.0,0,1,0,0.5,0,1,0,140.0,2179.295502344721,1600
1,2,3,2,1,1,1,0,140.0,0,1,0,0.6666666666666666,0,1,0,140.0,2179.295502344721,1500
1,1,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
1,2,3,3,1,1,1,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,550
1,2,3,1,1,0,0,0,130.0,0,1,0,0.3333333333333333,0,1,0,140.0,2179.295502344721,800
3,2,3,2,2,1,0,0,140.0,0,0,1,0.6666666666666666,0,2,0,140.0,4419.044863120856,500
1,1,3,3,1,1,1,0,200.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,300
1,1,3,3,1,1,1,0,150.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
3,1,3,2,2,0,1,1,180.0,0,0,1,0.6666666666666666,2,0,0,140.0,4419.044863120856,1100
1,1,3,3,1,1,1,0,160.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,700
1,2,2,3,1,1,1,1,140.0,0,0,1,1.5,0,1,0,140.0,2179.295502344721,550
1,2,2,2,1,1,1,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,450
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,3,2,1,0,0,0,165.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,3,3,1,0,0,1,180.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,700
1,2,2,1,0,0,0,0,140.0,0,0,1,0.5,0,0,0,140.0,2179.295502344721,400
1,3,2,1,0,0,0,0,120.0,0,1,0,0.5,0,0,0,140.0,2179.295502344721,1000
2,3,3,2,1,0,1,0,100.0,0,1,0,0.6666666666666666,0,0,1,140.0,2954.5204006236395,800
1,1,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,2,3,2,1,1,1,0,162.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,3,3,1,1,1,0,165.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
1,1,1,1,1,1,1,0,80.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,1,1,2,0,0,0,0,100.0,0,0,1,2.0,0,0,0,140.0,2179.295502344721,500
1,1,3,3,1,1,1,1,160.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
1,1,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
1,1,1,1,0,1,1,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,400
1,2,2,1,0,1,1,0,140.0,0,1,0,0.5,0,0,0,140.0,2179.295502344721,1100
1,2,2,2,1,0,0,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,400
5,2,3,2,1,0,1,1,175.0,1,0,0,0.6666666666666666,0,1,0,140.0,4500.664105141376,3500
1,1,3,2,1,1,1,0,123.0,0,1,0,0.6666666666666666,1,0,0,140.0,2179.295502344721,2300
4,1,3,2,0,0,0,0,140.0,0,1,0,0.6666666666666666,0,0,0,140.0,5829.75481655339,1600
3,2,3,2,1,0,0,0,150.0,0,1,0,0.6666666666666666,0,1,0,140.0,4419.044863120856,1600
1,1,3,2,1,1,1,0,130.0,0,1,0,0.6666666666666666,1,0,0,140.0,2179.295502344721,2500
1,1,2,1,1,0,0,0,140.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,350
2,2,3,1,1,1,1,0,150.0,1,0,0,0.3333333333333333,0,1,0,140.0,2954.5204006236395,2600
1,1,2,1,1,1,1,0,80.0,0,1,0,0.5,1,0,0,140.0,2179.295502344721,2000
4,1,1,1,1,1,1,0,140.0,0,1,0,1.0,1,0,0,140.0,5829.75481655339,600
1,1,2,2,0,1,1,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,600
3,1,1,2,0,1,1,1,25.0,0,1,0,2.0,0,0,0,140.0,4419.044863120856,1000
1,1,2,2,1,1,1,1,110.0,0,1,0,1.0,1,0,0,140.0,2179.295502344721,800
3,1,3,2,0,0,1,0,140.0,0,1,0,0.6666666666666666,0,0,0,140.0,4419.044863120856,1400
2,3,3,2,2,0,1,0,110.0,0,1,0,0.6666666666666666,0,0,2,140.0,2954.5204006236395,1000
1,2,1,1,1,0,1,0,80.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,1000
1,2,2,2,2,1,0,0,130.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1100
1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,500
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,2,2,1,1,1,0,120.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
4,1,1,1,0,0,1,0,120.0,0,1,0,1.0,0,0,0,140.0,5829.75481655339,1100
1,1,3,2,2,0,0,0,140.0,0,1,0,0.6666666666666666,2,0,0,140.0,2179.295502344721,1500
4,1,2,1,2,0,1,0,140.0,0,1,0,0.5,2,0,0,140.0,5829.75481655339,600
1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,1,1,1,1,1,1,70.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,2,2,2,1,1,1,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,450
1,2,2,2,1,1,1,0,140.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,450
1,1,2,1,1,1,1,0,140.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,600
1,1,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,600
1,1,3,3,1,1,1,0,150.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,1,2,2,1,0,1,1,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,500
1,1,3,2,1,1,1,1,165.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
1,1,2,2,1,1,1,1,145.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,650
1,1,3,2,1,0,0,0,155.0,0,1,0,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,1,2,0,0,0,0,100.0,0,0,1,2.0,0,0,0,140.0,2179.295502344721,500
1,2,3,2,2,0,0,0,180.0,0,1,0,0.6666666666666666,0,2,0,140.0,2179.295502344721,1650
1,1,3,2,0,1,0,0,120.0,0,1,0,0.6666666666666666,0,0,0,140.0,2179.295502344721,330
1,2,2,2,2,1,1,0,140.0,0,1,0,1.0,0,2,0,140.0,2179.295502344721,1100
5,3,3,2,2,0,1,0,130.0,1,0,0,0.6666666666666666,0,0,2,140.0,4500.664105141376,3500
1,1,3,2,1,1,1,1,150.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,2,3,3,2,1,1,0,172.0,0,0,1,1.0,0,2,0,140.0,2179.295502344721,650
1,1,1,1,0,1,1,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,400
1,1,1,1,0,1,1,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,400
1,2,1,1,0,1,1,0,140.0,0,1,0,1.0,0,0,0,140.0,2179.295502344721,900
1,2,1,1,1,0,1,0,100.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,1000
4,1,4,2,3,1,1,0,170.0,0,1,0,0.5,3,0,0,140.0,5829.75481655339,2500
1,1,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,600
1,1,3,3,2,1,1,1,175.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,800
3,1,3,2,1,1,1,0,148.0,0,1,0,0.6666666666666666,1,0,0,140.0,4419.044863120856,2500
1,2,2,2,1,1,1,0,122.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,500
2,2,2,1,0,0,0,0,100.0,0,1,0,0.5,0,0,0,140.0,2954.5204006236395,1000
1,1,2,3,1,1,1,1,170.0,0,0,1,1.5,1,0,0,140.0,2179.295502344721,1100
1,2,2,2,1,1,1,0,140.0,0,1,0,1.0,0,1,0,140.0,2179.295502344721,1500
1,1,3,3,1,1,1,1,170.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,1100
1,2,2,2,1,0,0,0,110.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,400
1,2,1,1,0,1,1,0,140.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,350
1,2,3,3,3,0,1,0,200.0,0,1,0,1.0,0,3,0,140.0,2179.295502344721,1300
4,3,1,1,1,0,1,0,80.0,1,0,0,1.0,0,0,1,140.0,5829.75481655339,1500
7,1,1,1,1,1,1,0,140.0,0,1,0,1.0,1,0,0,140.0,2095.947656953635,1000
1,2,2,1,1,1,1,0,88.0,0,1,0,0.5,0,1,0,140.0,2179.295502344721,1200
1,2,2,1,1,0,0,0,140.0,0,1,0,0.5,0,1,0,140.0,2179.295502344721,1300
2,2,3,1,0,0,0,0,140.0,0,1,0,0.3333333333333333,0,0,0,140.0,2954.5204006236395,850
1,1,3,3,2,1,1,1,140.0,0,0,1,1.0,2,0,0,140.0,2179.295502344721,850
1,1,2,1,1,1,1,1,100.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,650
1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,600
1,1,2,2,1,1,1,0,120.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,600
1,2,1,1,0,1,1,0,45.0,0,0,1,1.0,0,0,0,140.0,2179.295502344721,340
1,2,3,2,1,1,1,1,170.0,0,0,1,0.6666666666666666,0,1,0,140.0,2179.295502344721,500
1,1,2,1,1,1,1,0,118.0,0,0,1,0.5,1,0,0,140.0,2179.295502344721,600
1,1,1,1,1,1,1,0,140.0,0,0,1,1.0,1,0,0,140.0,2179.295502344721,550
1,1,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,1,0,0,140.0,2179.295502344721,700
1,4,3,1,1,0,0,0,140.0,0,1,0,0.3333333333333333,0,0,0,140.0,2179.295502344721,300
1,1,2,3,0,1,1,0,140.0,0,1,0,1.5,0,0,0,140.0,2179.295502344721,1900
1,2,3,3,1,1,1,0,155.0,0,0,1,1.0,0,1,0,140.0,2179.295502344721,500
1,2,1,2,0,0,0,0,140.0,0,1,0,2.0,0,0,0,140.0,2179.295502344721,1100
1,1,3,2,2,0,1,0,145.0,0,0,1,0.6666666666666666,2,0,0,140.0,2179.295502344721,800
