city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,1,1,1,0,0.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,390.0
1,1,1,1,1,80.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,1,3,3,2,190.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,1000.0
1,1,3,3,1,190.0,1,1,1,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,950.0
1,1,3,3,3,160.0,1,1,0,1.0,2.0,3,0,100.0,1508.2965041390216,800.0
1,2,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,450.0
1,2,3,1,3,200.0,0,1,0,0.3333333333333333,1.3333333333333333,0,3,130.0,1508.2965041390216,390.0
1,2,2,1,1,130.0,1,1,0,0.5,1.0,0,1,130.0,1508.2965041390216,210.0
1,1,3,3,1,175.0,0,0,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,600.0
1,1,3,2,1,135.0,1,0,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,690.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,600.0
1,1,1,1,1,0.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,2,2,1,0,0.0,0,0,0,0.5,0.5,0,0,130.0,1508.2965041390216,330.0
1,2,3,3,2,210.0,1,1,1,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,810.0
1,2,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,2,2,1,120.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,450.0
1,1,3,2,1,200.0,0,0,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,1,3,3,4,220.0,1,1,1,1.0,2.333333333333333,4,0,100.0,1508.2965041390216,900.0
2,1,1,1,0,0.0,0,1,0,1.0,1.0,0,0,100.0,2809.5507241955816,330.0
1,2,3,1,0,119.0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,130.0,1508.2965041390216,500.0
1,1,2,1,1,0.0,1,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,300.0
1,1,3,1,0,140.0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,100.0,1508.2965041390216,120.0
1,2,1,1,1,90.0,0,0,0,1.0,2.0,0,1,130.0,1508.2965041390216,240.0
1,1,2,1,1,0.0,1,0,0,0.5,1.0,1,0,100.0,1508.2965041390216,700.0
3,1,2,2,0,0.0,0,1,0,1.0,1.0,0,0,100.0,3107.09112274828,660.0
1,1,3,3,2,200.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,850.0
1,2,1,1,0,0.0,1,1,1,1.0,1.0,0,0,130.0,1508.2965041390216,480.0
3,3,2,1,1,135.0,1,0,0,0.5,1.0,0,0,130.0,3107.09112274828,500.0
1,1,2,1,0,0.0,0,0,0,0.5,0.5,0,0,100.0,1508.2965041390216,500.0
3,2,3,2,2,130.0,1,1,0,0.6666666666666666,1.3333333333333333,0,2,130.0,3107.09112274828,390.0
4,2,2,2,1,150.0,0,0,0,1.0,1.5,0,1,130.0,3749.991715220519,451.2
1,2,3,3,0,130.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,282.0
5,1,3,3,3,174.0,1,1,1,1.0,2.0,3,0,100.0,5087.846935666451,900.0
1,1,2,2,1,145.0,0,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,600.0
1,2,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,1,1,0,50.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,350.0
6,2,2,1,1,0.0,0,0,0,0.5,1.0,0,1,130.0,338.21778739036773,300.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,450.0
1,2,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,2,3,1,0,0.0,1,1,0,0.3333333333333333,0.3333333333333333,0,0,130.0,1508.2965041390216,430.0
1,1,1,1,0,70.0,1,1,1,1.0,1.0,0,0,100.0,1508.2965041390216,450.0
5,2,3,1,1,116.0,0,1,0,0.3333333333333333,0.6666666666666666,0,1,130.0,5087.846935666451,240.0
1,2,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,550.0
1,1,3,3,1,165.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,650.0
1,2,2,2,2,130.0,0,0,0,1.0,2.0,0,2,130.0,1508.2965041390216,480.0
1,2,3,3,2,170.0,1,1,0,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,450.0
1,2,3,3,2,160.0,1,1,0,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,480.0
1,2,1,2,1,0.0,0,0,0,2.0,3.0,0,1,130.0,1508.2965041390216,400.0
1,1,3,2,0,0.0,0,0,0,0.6666666666666666,0.6666666666666666,0,0,100.0,1508.2965041390216,200.0
1,2,5,2,1,120.0,0,0,0,0.4,0.6,0,1,130.0,1508.2965041390216,420.0
1,2,3,2,1,140.0,1,0,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,570.0
1,2,3,3,1,155.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,550.0
1,2,1,1,0,20.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,180.0
1,1,1,1,1,70.0,1,1,1,1.0,2.0,1,0,100.0,1508.2965041390216,400.0
1,2,3,3,2,185.0,1,0,1,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,465.0
1,2,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,1,1,1,0,0.0,1,1,1,1.0,1.0,0,0,100.0,1508.2965041390216,550.0
1,2,2,1,1,130.0,0,0,0,0.5,1.0,0,1,130.0,1508.2965041390216,210.0
1,2,3,3,3,200.0,0,0,0,1.0,2.0,0,3,130.0,1508.2965041390216,390.0
1,2,1,1,1,0.0,1,1,0,1.0,2.0,0,1,130.0,1508.2965041390216,270.0
1,2,3,3,3,180.0,1,1,0,1.0,2.0,0,3,130.0,1508.2965041390216,750.0
