date,city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,status_A,status_B,status_C,status_D,status_E,city_B,city_H,city_J,city_JN,city_JR,city_N,city_Q,city_RB,city_S,city_T,city_TB,MedstatusHouseSpace,city_encoded,price
2020-01-29,1,1,1,1,0,1,1,0,140.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1300
2020-01-29,1,1,1,1,1,1,1,0,80.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-01-29,1,1,3,3,2,1,1,1,190.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
2020-01-29,1,1,3,3,1,1,1,1,190.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,950
2020-01-29,1,1,3,3,3,1,1,0,160.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
2020-01-29,1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-01-29,1,2,3,1,3,0,1,0,200.0,0,1,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1300
2020-01-29,1,2,2,1,1,1,1,0,130.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-01-29,1,1,3,3,1,0,0,0,175.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-01-29,1,1,3,2,1,1,0,0,135.0,0,1,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,2300
2020-01-29,1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-01-29,1,1,1,1,1,1,1,0,140.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-01-29,1,2,2,1,0,0,0,0,140.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1100
2020-01-29,1,2,3,3,2,1,1,1,210.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,2700
2020-01-29,1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-01-29,1,2,2,2,1,1,1,0,120.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-01-30,1,1,3,2,1,0,0,0,200.0,0,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-01-30,1,1,3,3,4,1,1,1,220.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,900
2020-01-30,4,2,3,1,0,0,0,0,90.0,1,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,2000
2020-01-30,2,1,1,1,0,0,1,0,140.0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140.0,2954.5204006236395,1100
2020-01-30,1,2,3,1,0,0,0,0,119.0,0,0,1,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-01-30,1,1,2,1,1,1,1,0,140.0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
2020-01-30,1,1,3,1,0,0,0,0,140.0,0,1,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,400
2020-02-04,1,2,1,1,1,0,0,0,90.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
2020-01-30,1,1,2,1,1,1,0,0,140.0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-01-30,3,1,2,2,0,0,1,0,140.0,0,1,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,2200
2020-02-01,1,1,3,3,2,1,1,1,200.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,850
2020-01-30,1,2,1,1,0,1,1,1,140.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1600
2020-01-30,3,3,2,1,1,1,0,0,135.0,0,0,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,500
2020-01-30,1,1,2,1,0,0,0,0,140.0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-01-30,3,2,3,2,2,1,1,0,130.0,0,1,0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,1300
2020-01-30,4,2,2,2,1,0,0,0,150.0,1,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,320
