date,houseId,city,address,houseType,status,numberRooms,numberBathrooms1,numberBathrooms,numberKitchens1,numberKitchens,numberBalconies1,numberBalconies,loungeType,houseSpace,landArea,elevator1,elevator,carParking1,carParking,heating1,heating,price,priceType,priceUS
2020-01-29,240003,RB,- بيتونيا,apartment,A,1,0,,0,,0,,,,,1,نعم,1,نعم,0,,1300,شيكل,390
2020-01-29,240005,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,1,1,صالة كبيرة وترس كبير,80,,1,نعم,1,نعم,0,,550,دولار,550
2020-01-29,240006,RB,-  مدينة رام الله,apartment,A,3,3,3,0,,2,2,,190,100,1,نعم,1,نعم,1,نعم,1000,دولار,1000
2020-01-29,240007,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,190,,1,نعم,1,نعم,1,نعم,950,دولار,950
2020-01-29,240008,RB,-  مدينة رام الله,apartment,A,3,3,3,0,,3,3,1,160,,1,نعم,1,نعم,0,,800,دولار,800
2020-01-29,240009,RB,-  مدينة البيرة,apartment,B,3,3,3,1,1,1,1,2,150,0,1,نعم,1,نعم,0,,450,دولار,450
2020-01-29,240010,RB,- بير نبالا,apartment,B,3,0,,1,1,3,3,صالون   صاله,200,,0,,1,نعم,0,,1300,شيكل,390
2020-01-29,240011,RB,- بير نبالا,apartment,B,2,1,1,1,1,1,1,صالون,130,,1,نعم,1,نعم,0,,700,شيكل,210
2020-01-29,240012,RB,-  مدينة رام الله,Roof,A,3,3,3,1,1,1,1,صالة وصالون,175,900,0,,0,,0,,600,دولار,600
2020-01-29,240016,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,نعم,135,,1,نعم,0,,0,,2300,شيكل,690
2020-01-29,240021,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة+صالون,160,,1,نعم,1,نعم,0,,600,دولار,600
2020-01-29,240023,RB,-  مدينة رام الله,Roof,A,1,1,1,1,1,1,1,صالة,,,1,نعم,1,نعم,0,,550,دولار,550
2020-01-29,240024,RB,-  مدينة البيرة,apartment,B,2,1,1,1,1,0,,صالة كبيرة,,,0,,0,,0,,1100,شيكل,330
2020-01-29,240025,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,2,2,2,210,0,1,نعم,1,نعم,1,نعم,2700,شيكل,810
2020-01-29,240028,RB,- الطيرة,apartment,B,3,3,3,1,1,1,1,1,150,,1,نعم,1,نعم,0,,600,دولار,600
2020-01-29,240033,RB,-  مدينة رام الله,apartment,B,2,2,2,1,1,1,1,1,120,,1,نعم,1,نعم,0,,450,دولار,450
2020-01-30,240036,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,يوجد.,200,,0,,0,,0,,700,دولار,700
2020-01-30,240039,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,4,4,صالة كبيرة وصغيرة,220,,1,نعم,1,نعم,1,نعم,900,دولار,900
2020-01-30,240040,N,- زواتا,apartment,B,3,1,1,1,1,0,0,نعم يوجد صاله,90,400,0,,0,,0,,2000,دينار,2820
2020-01-30,240041,T,-  مدينة طولكرم,apartment,A,1,0,,1,1,0,,لا,,,0,,1,نعم,0,,1100,شيكل,330
2020-01-30,240044,RB,-  مدينة رام الله,apartment,B,3,1,1,1,1,0,0,صالة كبيرة,119,550,0,,0,,0,,500,دولار,500
2020-01-30,240045,RB,-  مدينة البيرة,apartment,A,2,1,1,1,1,1,1,1,,80,1,نعم,1,نعم,0,,1000,شيكل,300
2020-01-30,240046,RB,-  مدينة رام الله,apartment,A,3,1,1,1,1,0,0,يوجد صاله كبيره,140,,0,,0,,0,,400,شيكل,120
2020-02-04,240047,RB,- بيتونيا,apartment,B,1,1,1,1,1,1,1,يوجد,90,,0,,0,,0,,800,شيكل,240
2020-01-30,240049,RB,-  مدينة رام الله,apartment,A,2,1,1,1,1,1,1,صالة كبير,,,1,نعم,0,,0,,700,دولار,700
2020-01-30,240057,B,- الدوحة,apartment,A,2,2,2,0,,0,,,,,0,,1,نعم,0,,2200,شيكل,660
2020-02-01,240061,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,2,2,2,200,50,1,نعم,1,نعم,1,نعم,850,دولار,850
2020-01-30,240062,RB,-  مدينة رام الله,apartment,B,1,0,,0,,0,,,,,1,نعم,1,نعم,1,نعم,1600,شيكل,480
2020-01-30,240063,B,-  مدينة بيت لحم,apartment,C,2,0,,0,,1,1,صاله واسعه,135,,1,نعم,0,,0,,500,دولار,500
